video_id,second,motion,luminosity,contrast,saturation,flicker,chroma_richness,edge_density,cortes_segundo,audio_energy,spectral_brightness,onsets_segundo
TIy5Iy6V54E,0,1.1341170983893487,218.73753781628162,58.904871073983536,100.8366468417675,1.617518678951227,14.576004053721386,1.7965598643197653,0.0,0.024454659,2240.9559315098195,2
TIy5Iy6V54E,1,1.5470293778926134,201.44495152640263,77.34100127011197,94.7121860102677,2.432231504400439,17.350181017872966,2.324498074807481,1.0,0.03680657,1972.2865775366135,2
TIy5Iy6V54E,2,3.176812623937925,219.64317702603594,50.65195391743896,74.3788154336267,1.8972543087642098,19.022854467204265,2.884981206453979,0.0,0.06082738,2633.635788462015,3
TIy5Iy6V54E,3,1.6211107323567073,240.7105306884855,31.789037496114307,33.83507288228823,0.62173118353502,15.173145545540875,1.5575724239090576,0.0,0.060131405,2728.18345369213,4
TIy5Iy6V54E,4,1.5520503756900628,245.14671972405574,29.395720533447403,27.739406857352403,0.24121401723505778,17.330498570690107,3.6010840667400075,0.0,0.07635308,1525.0752911533593,5
TIy5Iy6V54E,5,0.21001963006953397,244.56263865969927,28.865500646151975,29.899378896222956,0.15046640080675053,17.96855518355126,3.813600110011001,0.0,0.08881148,1459.4993118217142,2
TIy5Iy6V54E,6,1.661985709021489,233.78867001283461,46.48803913133859,35.81580376787679,2.8608057159882656,18.967596174091536,4.401127612761276,1.0,0.11395044,2678.3400379353675,4
TIy5Iy6V54E,7,0.40651948129137355,244.27749300971766,28.127650926699307,22.117102126879356,1.5920511321965531,16.117906674808655,3.6439998166483316,0.0,0.14229953,1124.328472879477,3
TIy5Iy6V54E,8,0.3873005530976646,76.02894549871654,19.817613676183786,92.58914959204253,14.704497845617894,19.431363868713813,2.8592546754675467,1.0,0.04685009,2191.6036050718003,1
TIy5Iy6V54E,9,1.5244203445812066,136.28625893839384,46.044622433096954,138.62945544554455,0.7392681976530989,24.861010168986258,7.605255317198387,0.0,0.057437923,1818.6698577103075,3
TIy5Iy6V54E,10,0.9317265792439381,131.72962504583793,45.00347937839788,142.23202064998165,0.19683718371837244,24.78943840150892,10.666655207187386,0.0,0.112034634,2336.140610602058,3
TIy5Iy6V54E,11,1.6414158046245575,128.9263092455079,47.481012057463595,145.94494694261093,1.206229372937294,24.80419193554656,7.664844609460946,0.0,0.08255444,2407.141778420231,5
TIy5Iy6V54E,12,0.8784172926098108,128.8070888338834,39.30982234292285,151.27665818665199,1.6957095709570928,22.287795949414406,5.737245599559956,1.0,0.095184356,1583.0501324367742,5
TIy5Iy6V54E,13,0.8430285112311443,117.96766879812981,36.69236973488456,167.01645180143015,2.0386253208654193,20.070323535651685,4.2284332599926655,1.0,0.080398224,1735.0173169508432,5
TIy5Iy6V54E,14,0.35429580354442197,150.01714051613496,28.396371193209365,124.97627028327832,0.11736397598093144,22.526605309491586,7.696931151448478,0.0,0.1258285,1508.0371826259036,6
TIy5Iy6V54E,15,1.1650478069980938,148.92647999174918,30.36216229585435,126.79020902090208,0.25579677759442393,23.371961199813416,7.836507609094244,0.0,0.115288705,2027.6638357226852,2
TIy5Iy6V54E,16,1.2828351023296516,149.4769435276861,32.46281126781111,122.4219529244591,0.20808408965896655,23.794068464193007,7.0016845434543455,0.0,0.0961333,1983.7401954137722,2
TIy5Iy6V54E,17,0.4468523335332672,147.9887210075174,28.17711774201389,115.87792904290428,0.17316189952328523,22.65394442596346,6.421834891822516,0.0,0.11156344,1907.1128630038654,5
TIy5Iy6V54E,18,0.5669161158924302,128.46379205628895,46.40175318714569,134.0180595663733,0.8291603639530614,24.940807868080906,8.120301613494682,1.0,0.089498594,1363.7360098175668,4
TIy5Iy6V54E,19,0.21814701550950608,129.53895764576458,47.18930611483367,133.26902158965896,0.0841400806747347,24.872989865268398,8.391547488082141,0.0,0.093146734,1993.4972317481129,5
TIy5Iy6V54E,20,0.21553545476247868,130.08889289970662,48.065495837846605,134.3855037587092,0.16374278052805144,24.782050289216457,8.474456820682068,0.0,0.104931995,2994.540337238685,1
TIy5Iy6V54E,21,0.12936624822517237,129.63884591584159,48.45126452958792,133.53298840300695,0.11639564998166325,24.838937387071038,8.877658599193252,0.0,0.08752189,1699.6253170710481,4
TIy5Iy6V54E,22,0.5559313679113984,128.86449509534287,48.85109461144939,133.0529926430143,0.09987279977997925,24.87030129328466,8.977642555922259,0.0,0.10088721,2105.421927158037,4
TIy5Iy6V54E,23,1.3801551883419354,129.48668752291897,51.89958084441338,139.84019985331867,0.4727258663366361,25.370130690811155,8.9380500550055,0.0,0.09835721,1837.4005966726759,4
TIy5Iy6V54E,24,0.8249625184883674,114.17813760542721,43.73478655912308,148.45986374679134,0.702091927942794,24.455192652265293,7.30341263292996,1.0,0.107669786,2552.101289071978,4
TIy5Iy6V54E,25,0.31272308838864166,110.79651001558489,40.068724434418186,149.304639943161,0.11404702970297187,24.25768434037877,7.039099743307664,0.0,0.096092135,1946.6324833335095,4
TIy5Iy6V54E,26,0.54445154654483,123.06658358544188,41.493302089273485,147.27409011734508,0.9529296158782543,24.1636590283118,7.761448019801979,1.0,0.10968124,2016.516490298439,3
TIy5Iy6V54E,27,0.8871208392083645,132.65678974147414,43.251417568857654,144.4083992253392,0.37533060597726475,24.12884908102158,8.293683535020168,0.0,0.0980477,1815.582326684166,6
TIy5Iy6V54E,28,1.1293828909595807,133.24626936651998,44.444698648023774,144.18410512926292,0.4445596122112221,24.17286738775367,8.326056563989733,0.0,0.11783278,2001.7401124160172,4
TIy5Iy6V54E,29,0.524116683130463,139.13163045471214,47.74502788809959,136.75309921617162,0.40556758800880033,24.53452064751021,6.496837183718372,1.0,0.11448871,2333.5926204326365,3
TIy5Iy6V54E,30,1.8262234901388485,142.76531444811147,49.17034173340415,133.97873636321967,0.6206717546754655,25.090566273466365,6.445899798313165,0.0,0.12469618,2126.1103545098726,6
